id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
wellington_rlf,Wellington,New Zealand,January,Wellington,rlf,,2013,2013-01-01,Wellington,city,"Wellington, New Zealand",-41.2887953,174.7772114
west_virginia_bto,,United States,August,West Virginia,bto,West Virginia,2018,2018-08-01,,state,"West Virginia, United States",38.4758406,-80.8408415
west_virginia_bts,,United States,March,West Virginia,bts,West Virginia,2018,2018-03-01,,state,"West Virginia, United States",38.4758406,-80.8408415
whistler_bts,Whistler,Canada,June,Whistler,bts,British Columbia,2018,2018-06-01,Whistler,city,"Whistler, British Columbia, Canada",50.1171903,-122.9543022
whistler_icon,Whistler,Canada,January,Whistler,icon,British Columbia,2009,2009-01-01,Whistler,city,"Whistler, British Columbia, Canada",50.1171903,-122.9543022
whistler_yah,Whistler,Canada,April,Whistler,yah,British Columbia,2013,2013-04-01,Whistler,city,"Whistler, British Columbia, Canada",50.1171903,-122.9543022
wiesbaden_icon,Wiesbaden,Germany,January,Wiesbaden,icon,,2009,2009-01-01,Wiesbaden,city,"Wiesbaden, Germany",50.0820384,8.2416556
winnipeg_bts,Winnipeg,Canada,May,Winnipeg,bts,Manitoba,2018,2018-05-01,Winnipeg,city,"Winnipeg, Manitoba, Canada",49.884017,-97.168579
wisconsin_bto,,United States,August,Wisconsin,bto,Wisconsin,2018,2018-08-01,,state,"Wisconsin, United States",44.4308975,-89.6884637
wisconsin_bts,,United States,March,Wisconsin,bts,Wisconsin,2018,2018-03-01,,state,"Wisconsin, United States",44.4308975,-89.6884637
wisconsin_yah,,United States,November,Wisconsin,yah,Wisconsin,2013,2013-11-01,,state,"Wisconsin, United States",44.4308975,-89.6884637
wisconsin_yah_2,,United States,July,Wisconsin v.2,yah,Wisconsin,2014,2014-07-01,,state,"Wisconsin, United States",44.4308975,-89.6884637
wroclaw_icon,Wroclaw,Poland,January,Wrocław,icon,,2010,2010-01-01,Wroclaw,city,"Wroclaw, Poland",51.1263106,16.9781963305126
wuhan_icon,Wuhan,China,January,Wuhan,icon,,2008,2008-01-01,Wuhan,city,"Wuhan, China",30.5951051,114.2999353
wuhan_rlf,Wuhan,China,November,Wuhan Blue,rlf,,2016,2016-11-01,Wuhan,city,"Wuhan, China",30.5951051,114.2999353
wuhan_yah,Wuhan,China,September,Wuhan,yah,,2017,2017-09-01,Wuhan,city,"Wuhan, China",30.5951051,114.2999353
wuhu_icon,Wuhu,China,January,Wuhu,icon,,2014,2014-01-01,Wuhu,city,"Wuhu, China",31.3536127,118.4277477
wuhu_yah,Wuhu,China,November,Wuhu,yah,,2018,2018-11-01,Wuhu,city,"Wuhu, China",31.3536127,118.4277477
wuxi_rlf,Wuxi,China,November,Wuxi Blue,rlf,,2016,2016-11-01,Wuxi,city,"Wuxi, China",31.5776264,120.2951311
wuxi_yah,Wuxi,China,September,Wuxi,yah,,2017,2017-09-01,Wuxi,city,"Wuxi, China",31.5776264,120.2951311
wyoming_bto,,United States,August,Wyoming,bto,Wyoming,2018,2018-08-01,,state,"Wyoming, United States",43.1700264,-107.5685348
wyoming_bts,,United States,March,Wyoming,bts,Wyoming,2018,2018-03-01,,state,"Wyoming, United States",43.1700264,-107.5685348
xiamen_icon,Xiamen,China,January,Xiamen,icon,,2011,2011-01-01,Xiamen,city,"Xiamen, China",24.4586961,118.0745391
xiamen_rlf,Xiamen,China,November,Xiamen Blue,rlf,,2016,2016-11-01,Xiamen,city,"Xiamen, China",24.4586961,118.0745391
xiamen_yah,Xiamen,China,September,Xiamen,yah,,2017,2017-09-01,Xiamen,city,"Xiamen, China",24.4586961,118.0745391
xian_icon,Xian,China,January,Xian,icon,,2008,2008-01-01,Xi'an,city,"Xian, China",35.000074,104.999927
